Date	FTD_A_ludens	SBC_A_ludens	FTD_A_obliqua	SBC_A_obliqua	FTD_A_serpentina	SBC_A_serpentina	AP-MZ	MAT-MZ	AP-JC	MAT-JC	SOI	NAOI
October_1996	0.0387	0	0	NA	0	NA	42.8	21.98	61.2	19.61	0.7	-0.3
November_1996	0.0119	0	0	NA	0	NA	157.1	18	23.1	17.5	-0.3	-0.6
December_1996	0.1071	0.143	0.0045	0.5	0	NA	111.9	16.57	9.4	16.63	1.3	-1.4
January_1997	0.5476	0.315	0.0107	0.8	0.0089	0.75	55.7	15.19	25.7	15.37	0.8	-0.5
February_1997	0.3512	0.303	0.0089	0.833	0.0022	0	131	15.77	6.9	16.5	2.6	1.7
March_1997	0.6548	0.426	0.1138	0.74	0.0089	0.25	277.3	17.89	17.8	19.19	-1.9	1.5
April_1997	0.3512	0.472	0.0732	0.424	0.5518	0.321	126.8	19.83	49.8	20.08	-1.4	-1
ago-94	0.2607	0.358	0.1942	0.434	0.558	0.282	178.1	20.08	99.5	20.21	-3	-0.3
June_1997	0.1224	0.074	0.2054	0.504	0.9777	0.41	67.2	24.23	238	21.62	-3.2	-1.5
July_1997	0.0952	0.234	0.2732	0.435	1.6089	0.46	44.5	22.95	98.3	20.06	-1.7	0.3
August_1997	0.05	0.048	0.0446	0.242	0.3862	0.484	70.5	22.47	49.7	19.77	-3.4	0.8
September_1997	0.003	0	0.0117	0.333	0.0098	0.8	195.2	22.47	122.2	20.28	-2.6	0.6
October_1997	0.003	0	0	NA	0	NA	292.9	20.05	181.2	19.69	-3.1	-1.7
November_1997	0	NA	0	NA	0	NA	118.4	19.92	97.5	18.88	-2.3	-0.9
December_1997	0	NA	0	NA	0	NA	61.6	15.1	31.2	15.02	-2.1	-1
January_1998	0.1105	0.461	0.0022	1	0.0089	0	97.7	16.73	6.3	16	-5.4	0.4
February_1998	0.256	0.356	0.0134	0.8	0.0067	0	58	16.98	6	15.09	-4.4	-0.1
March_1998	0.3048	0.319	0.0134	0.167	0.0134	0.333	69.8	18.74	27.6	17.71	-5.7	0.9
April_1998	0.0551	0.3	0.0036	0	0.0857	0.325	63.8	20.65	2.5	20.08	-3.2	-0.7
