planta;parche;diam;peso;az;pulpa;sem;pulpa.sem
P3-6;P3;8.346;0.315;23.5;0.267;0.0476;5.619
P3-6;P3;7.154;0.186;28.5;0.139;0.0466;2.99
P3-6;P3;6.957;0.165;21;0.127;0.0378;3.355
P3-6;P3;8.075;0.286;25.25;0.24;0.0457;5.252
P3-6;P3;7.424;0.215;26.25;0.188;0.0273;6.883
P3-6;P3;8.183;0.297;21.5;0.251;0.0462;5.437
P3-6;P3;7.966;0.274;23.5;0.226;0.0483;4.671
P3-6;P3;7.912;0.268;25;0.223;0.0454;4.904
P3-6;P3;7.045;0.174;22.25;0.15;0.0244;6.137
P3-6;P3;7.695;0.245;23.75;0.201;0.0439;4.571
P3-6;P3;7.543;0.228;24;0.188;0.0402;4.674
P3-6;P3;6.016;0.063;24;0.031;0.0314;0.996
P3-6;P3;8.617;0.344;26.25;0.289;0.055;5.262
P3-6;P3;7.641;0.239;22.75;0.203;0.0361;5.612
P3-6;P3;8.4;0.321;23;0.286;0.0353;8.091
P3-6;P3;7.154;0.186;26.25;0.161;0.0253;6.35
P3-6;P3;6.461;0.111;29.25;0.071;0.04;1.772
P3-6;P3;8.563;0.339;21.5;0.3;0.0386;7.771
P3-6;P3;7.858;0.262;24.25;0.22;0.0427;5.141
P3-6;P3;6.937;0.162;24.75;0.129;0.033;3.923
P3-6;P3;8.237;0.303;27;0.251;0.0523;4.798
P3-6;P3;7.472;0.22;21;0.189;0.0314;6.019
P3-6;P3;6.341;0.098;25;0.071;0.0266;2.68
P3-6;P3;6.728;0.14;30.25;0.101;0.0387;2.613
P3-7;P3;8.318;0.312;26.75;0.262;0.0504;5.191
P3-7;P3;8.916;0.377;28;0.315;0.0621;5.068
P3-7;P3;8.916;0.377;30.75;0.322;0.0547;5.888
P3-7;P3;7.583;0.232;30;0.195;0.0379;5.132
P3-7;P3;8.502;0.332;33;0.275;0.0567;4.855
P3-7;P3;8.548;0.337;31;0.283;0.0535;5.298
P3-7;P3;8.18;0.297;25.25;0.245;0.0517;4.746
P3-7;P3;7.951;0.272;26;0.226;0.0467;4.83
P3-7;P3;8.87;0.372;34;0.314;0.0575;5.466
P3-7;P3;7.961;0.273;26.75;0.228;0.0456;4.995
P3-7;P3;8.662;0.349;30.5;0.3;0.0496;6.042
P3-7;P3;8.226;0.302;25.25;0.252;0.0499;5.053
P3-7;P3;8.502;0.332;23.5;0.28;0.0515;5.446
P3-7;P3;8.042;0.282;26.5;0.232;0.0506;4.576
P3-7;P3;8.594;0.342;27.75;0.288;0.054;5.332
P3-7;P3;8.87;0.372;30;0.309;0.0629;4.911
P3-7;P3;8.364;0.317;30;0.277;0.0399;6.945
P3-7;P3;8.305;0.311;27.5;0.255;0.0559;4.557
P3-7;P3;9.008;0.387;31.5;0.332;0.0549;6.045
P3-7;P3;8.088;0.287;34;0.247;0.0399;6.196
P3-7;P3;8.502;0.332;31;0.282;0.0502;5.613
P3-7;P3;7.445;0.217;31;0.185;0.032;5.796
P3-7;P3;8.87;0.372;29.75;0.321;0.0511;6.276
P3-7;P3;8.732;0.357;29.25;0.304;0.0525;5.797
P3-7;P3;8.134;0.292;23.5;0.243;0.0486;5.01
P3-7;P3;7.695;0.245;26.75;0.211;0.0334;6.322
P3-7;P3;8.916;0.377;34.25;0.302;0.075;4.024
P3-7;P3;8.432;0.324;26.25;0.281;0.0436;6.44
P3-7;P3;8.502;0.332;30.25;0.278;0.0544;5.102
P3-7;P3;9.054;0.392;24;0.336;0.0559;6.008
