ID;basal_area;Number_of_stems;mean_stem_basal_area;Xrange;Yrange;RangeAvg;infected;CI_tree
2864;0.08552986;1;0.08552986;0;0;0;0;1.978503106
2925;0.107521009;1;0.107521009;0;0;0;1;1.968109962
132;0.087100656;2;0.043550328;0.667;0.595;0.631;0;1.94741701
287;0.09833185;2;0.049165925;0.514;0.419;0.4665;0;1.937949143
2725;0.070685835;1;0.070685835;0;0;0;0;1.921394342
157;0.125742246;3;0.041914082;0.771;0.755;0.763;0;1.916132516
204;0.127627202;2;0.063813601;0.246;0.425;0.3355;0;1.915525629
38;0.148283173;5;0.029656635;0.702;2.748;1.725;0;1.911124705
165;0.076026542;2;0.038013271;0.14;0.721;0.4305;1;1.908145345
356;0.12849114;3;0.04283038;0.806;0.567;0.6865;0;1.906583271
2883;0.080424772;1;0.080424772;0;0;0;0;1.896536168
122;0.135559723;4;0.033889931;0.643;1.315;0.979;0;1.884895639
3421;0.113411495;1;0.113411495;0;0;0;1;1.874479861
2723;0.031415927;1;0.031415927;0;0;0;1;1.832977009
223;0.140586271;4;0.035146568;1.03;1.235;1.1325;0;1.826373362
256;0.114668132;2;0.057334066;0.721;0.752;0.7365;1;1.825407584
288;0.101630522;3;0.033876841;0.496;0.866;0.681;0;1.824400067
244;0.123150432;2;0.061575216;0.429;0.617;0.523;1;1.821471304
2528;0.14522012;1;0.14522012;0;0;0;0;1.803015511
2401;0.101787602;1;0.101787602;0;0;0;1;1.801856709
2084;0.101787602;1;0.101787602;0;0;0;1;1.796327583
263;0.084508842;2;0.042254421;0.082;0.665;0.3735;0;1.786769524
2650;0.049087385;1;0.049087385;0;0;0;0;1.769082402
2109;0.101787602;1;0.101787602;0;0;0;0;1.7675007
2493;0.096211275;1;0.096211275;0;0;0;0;1.752597807
108;0.079560834;3;0.026520278;0.507;0.855;0.681;0;1.748410256
2337;0.080424772;1;0.080424772;0;0;0;0;1.727168492
77;0.124249989;5;0.024849998;1.545;1.25;1.3975;0;1.724326612
37;0.163598437;3;0.054532812;0.923;0.458;0.6905;0;1.721620595
114;0.100923664;4;0.025230916;0.577;0.609;0.593;0;1.719782228
2495;0.096211275;1;0.096211275;0;0;0;1;1.717667053
3258;0.101787602;1;0.101787602;0;0;0;0;1.716347516
252;0.11977322;2;0.05988661;0.222;0.589;0.4055;0;1.714576014
273;0.156215695;3;0.052071898;0.635;0.443;0.539;0;1.710894283
2080;0.096211275;1;0.096211275;0;0;0;0;1.70552363
2325;0.066051986;1;0.066051986;0;0;0;0;1.703568024
3431;0.101787602;1;0.101787602;0;0;0;0;1.703502368
174;0.118280963;3;0.039426988;1.196;1.247;1.2215;0;1.686653432
93;0.114668132;2;0.057334066;0.029;0.308;0.1685;0;1.672826627
2025;0.101787602;1;0.101787602;0;0;0;0;1.663708725
219;0.108699106;2;0.054349553;0.567;0.55;0.5585;0;1.657386295
179;0.132261051;2;0.066130526;0.876;0.69;0.783;0;1.656897973
44;0.124564149;4;0.031141037;0.991;1.059;1.025;0;1.656600994
113;0.084901541;3;0.028300514;0.848;1.084;0.966;1;1.644021967
236;0.137601758;3;0.045867253;1.062;0.69;0.876;0;1.643566373
2149;0.070685835;1;0.070685835;0;0;0;0;1.633738419
331;0.127941361;2;0.063970681;1.162;0.796;0.979;1;1.610421606
2861;0.101787602;1;0.101787602;0;0;0;1;1.599590615
309;0.121972335;2;0.060986168;0.518;0.339;0.4285;0;1.57892912
362;0.127627202;2;0.063813601;0.495;0.093;0.294;0;1.578720602
267;0.100923664;2;0.050461832;0.228;0.056;0.142;0;1.574602868
292;0.102180301;2;0.051090151;0.255;0.305;0.28;0;1.568524047
20;0.090949107;4;0.022737277;0.666;0.478;0.572;0;1.567852702
336;0.110348442;2;0.055174221;0.728;0.153;0.4405;0;1.566336455
3591;0.057255526;1;0.057255526;0;0;0;0;1.558906408
144;0.060711278;2;0.030355639;0.224;0.87;0.547;0;1.537548256
117;0.134852865;5;0.026970573;1.232;1.563;1.3975;0;1.52933325
186;0.139879413;2;0.069939707;0.618;0.178;0.398;1;1.52667009
2127;0.061575216;1;0.061575216;0;0;0;0;1.521431591
296;0.140507731;4;0.035126933;2.166;2.051;2.1085;0;1.516883733
79;0.146162598;2;0.073081299;1.037;0.113;0.575;0;1.507802049
2135;0.066051986;1;0.066051986;0;0;0;0;1.505511877
2020;0.101787602;1;0.101787602;0;0;0;0;1.501740129
6;0.126056405;3;0.042018802;0.478;0.591;0.5345;0;1.497935367
2494;0.096211275;1;0.096211275;0;0;0;0;1.490586119
312;0.09833185;2;0.049165925;0.404;0.028;0.216;1;1.479935356
214;0.123543131;2;0.061771566;0.812;0.017;0.4145;0;1.479683809
378;0.147105076;2;0.073552538;0.217;0.583;0.4;0;1.479144317
121;0.123621671;3;0.041207224;1.37;0.381;0.8755;0;1.476262855
149;0.16257742;4;0.040644355;1.086;2.081;1.5835;0;1.464336354
328;0.144827421;3;0.048275807;0.381;2.391;1.386;1;1.461239358
2448;0.113411495;1;0.113411495;0;0;0;1;1.460312008
35;0.164226756;4;0.041056689;1.648;1.637;1.6425;1;1.455427477
230;0.077361719;2;0.03868086;0.101;0.327;0.214;0;1.453130102
17;0.118830742;2;0.059415371;0.93;0.4;0.665;1;1.449399425
128;0.136188042;3;0.045396014;1.329;1.763;1.546;0;1.446944287
374;0.155037597;3;0.051679199;0.904;1.153;1.0285;0;1.440727069
16;0.107599548;2;0.053799774;0.202;0.406;0.304;1;1.435150033
185;0.141999988;2;0.070999994;1.166;0.053;0.6095;0;1.432470722
133;0.13673782;2;0.06836891;0.674;0.832;0.753;1;1.42816907
313;0.139565254;3;0.046521751;1.057;0.578;0.8175;1;1.425353016
124;0.155587376;3;0.051862459;0.962;0.297;0.6295;0;1.416015156
84;0.17113826;5;0.034227652;1.631;1.135;1.383;0;1.412783939
3522;0.080424772;1;0.080424772;0;0;0;0;1.409686229
340;0.091891585;2;0.045945793;1.328;0.565;0.9465;0;1.404979
351;0.206873876;3;0.068957959;1.23;1.135;1.1825;1;1.399804732
381;0.11129092;2;0.05564546;0.706;0.498;0.602;0;1.394700543
184;0.107599548;2;0.053799774;0.244;0.406;0.325;0;1.381845752
50;0.065345127;2;0.032672564;0.348;0.618;0.483;0;1.353404574
347;0.151424766;3;0.050474922;1;0.751;0.8755;0;1.34275235
29;0.177578525;4;0.044394631;0.419;1.23;0.8245;1;1.340532207
3583;0.152053084;1;0.152053084;0;0;0;1;1.324571692
216;0.127941361;2;0.063970681;0.322;0.333;0.3275;0;1.318933748
212;0.151581846;4;0.037895462;1.024;1.569;1.2965;0;1.316771946
138;0.066051986;2;0.033025993;0.19;0.149;0.1695;1;1.315533585
55;0.120715698;2;0.060357849;0.133;0.42;0.2765;0;1.311228704
24;0.166504411;2;0.083252206;0.228;0.699;0.4635;0;1.284622077
272;0.110662601;2;0.055331301;0.435;0.512;0.4735;0;1.283570274
261;0.13673782;2;0.06836891;0.489;0.396;0.4425;1;1.278433171
187;0.22242476;3;0.074141587;2.515;1.198;1.8565;1;1.275907858
3364;0.125663706;1;0.125663706;0;0;0;0;1.275516316
2138;0.101787602;1;0.101787602;0;0;0;0;1.273687186
130;0.119144901;2;0.059572451;0.471;0.605;0.538;1;1.270182534
228;0.131082953;4;0.032770738;1.231;1.243;1.237;0;1.267185592
387;0.146162598;2;0.073081299;0.678;0.03;0.354;1;1.266140503
28;0.141371669;4;0.035342917;1.312;0.879;1.0955;0;1.266024025
246;0.132261051;2;0.066130526;0.945;0.947;0.946;0;1.250793563
281;0.159043128;2;0.079521564;0.88;1.413;1.1465;0;1.249616132
81;0.129983396;5;0.025996679;1.003;0.976;0.9895;0;1.232869239
332;0.146319678;7;0.020902811;0.988;2.923;1.9555;0;1.230035831
363;0.146633837;8;0.01832923;1.68;1.147;1.4135;0;1.226773468
355;0.183547551;6;0.030591259;1.838;1.688;1.763;0;1.224867447
337;0.125663706;2;0.062831853;0.12;0.597;0.3585;0;1.218068784
148;0.117731185;3;0.039243728;1.088;1.015;1.0515;0;1.212865623
192;0.146162598;2;0.073081299;0.423;0.687;0.555;1;1.208567898
3593;0.066051986;1;0.066051986;0;0;0;0;1.206026412
21;0.117024326;2;0.058512163;0.576;0.182;0.379;0;1.202014498
2446;0.113411495;1;0.113411495;0;0;0;0;1.195712577
210;0.147105076;2;0.073552538;0.278;0.713;0.4955;1;1.194318581
